"dow_number","day_of_week","calories"
1,"Monday",2470
1,"Monday",1576
1,"Monday",1654
1,"Monday",2095
1,"Monday",1907
1,"Monday",2010
1,"Monday",1570
1,"Monday",1980
1,"Monday",2314
1,"Monday",3288
1,"Monday",2070
1,"Monday",2225
1,"Monday",3064
1,"Monday",2033
1,"Monday",3374
1,"Monday",1497
1,"Monday",2771
1,"Monday",2484
1,"Monday",2194
1,"Monday",3055
1,"Monday",2752
1,"Monday",3403
1,"Monday",1909
1,"Monday",4005
1,"Monday",2547
1,"Monday",1688
1,"Monday",3802
1,"Monday",3710
1,"Monday",1688
1,"Monday",2947
1,"Monday",3721
1,"Monday",2765
1,"Monday",2960
1,"Monday",2175
1,"Monday",1248
1,"Monday",2489
1,"Monday",2272
1,"Monday",2990
1,"Monday",2223
1,"Monday",2281
1,"Monday",3013
1,"Monday",2345
1,"Monday",2785
1,"Monday",1667
1,"Monday",1906
1,"Monday",1630
1,"Monday",1869
1,"Monday",2709
1,"Monday",2063
1,"Monday",1347
1,"Monday",3008
1,"Monday",1328
1,"Monday",1819
1,"Monday",1921
1,"Monday",1604
1,"Monday",2806
1,"Monday",1814
1,"Monday",2111
1,"Monday",2770
1,"Monday",1419
1,"Monday",1905
1,"Monday",1944
1,"Monday",1890
1,"Monday",2014
1,"Monday",1584
1,"Monday",1995
1,"Monday",1632
1,"Monday",3274
1,"Monday",2248
1,"Monday",2116
1,"Monday",3013
1,"Monday",1683
1,"Monday",3625
1,"Monday",2018
1,"Monday",2766
1,"Monday",2798
1,"Monday",2039
1,"Monday",2832
1,"Monday",2743
1,"Monday",3133
1,"Monday",1829
1,"Monday",4157
1,"Monday",2536
1,"Monday",1688
1,"Monday",2761
1,"Monday",2189
1,"Monday",2015
1,"Monday",2894
1,"Monday",3491
1,"Monday",1988
1,"Monday",2754
1,"Monday",2642
1,"Monday",2162
1,"Monday",1841
1,"Monday",2725
1,"Monday",2044
1,"Monday",3014
1,"Monday",1996
1,"Monday",2859
1,"Monday",2066
1,"Monday",2336
1,"Monday",3147
1,"Monday",2270
1,"Monday",2207
1,"Monday",1760
1,"Monday",1878
1,"Monday",1613
1,"Monday",1690
1,"Monday",2473
1,"Monday",2505
1,"Monday",1348
1,"Monday",2580
1,"Monday",1497
1,"Monday",2004
2,"Tuesday",2200
2,"Tuesday",3015
2,"Tuesday",1954
2,"Tuesday",1876
2,"Tuesday",2812
2,"Tuesday",2284
2,"Tuesday",3501
2,"Tuesday",2606
2,"Tuesday",2839
2,"Tuesday",1841
2,"Tuesday",2046
2,"Tuesday",2812
2,"Tuesday",2944
2,"Tuesday",3114
2,"Tuesday",1763
2,"Tuesday",4092
2,"Tuesday",2668
2,"Tuesday",1688
2,"Tuesday",3676
2,"Tuesday",3199
2,"Tuesday",2030
2,"Tuesday",2220
2,"Tuesday",2390
2,"Tuesday",1459
2,"Tuesday",2124
2,"Tuesday",2344
2,"Tuesday",1982
2,"Tuesday",1788
2,"Tuesday",1450
2,"Tuesday",3654
2,"Tuesday",2286
2,"Tuesday",2115
2,"Tuesday",2955
2,"Tuesday",2113
2,"Tuesday",1909
2,"Tuesday",2947
2,"Tuesday",2026
2,"Tuesday",3405
2,"Tuesday",1496
2,"Tuesday",2560
2,"Tuesday",1841
2,"Tuesday",1994
2,"Tuesday",2937
2,"Tuesday",2772
2,"Tuesday",3186
2,"Tuesday",2044
2,"Tuesday",3635
2,"Tuesday",2650
2,"Tuesday",2044
2,"Tuesday",3921
2,"Tuesday",1432
2,"Tuesday",2235
2,"Tuesday",2828
2,"Tuesday",1710
2,"Tuesday",1906
2,"Tuesday",1878
2,"Tuesday",1604
2,"Tuesday",2752
2,"Tuesday",2195
2,"Tuesday",1742
2,"Tuesday",3324
2,"Tuesday",1334
2,"Tuesday",1990
2,"Tuesday",1928
2,"Tuesday",3093
2,"Tuesday",3763
2,"Tuesday",1813
2,"Tuesday",2846
2,"Tuesday",2781
2,"Tuesday",2939
2,"Tuesday",2012
2,"Tuesday",2584
2,"Tuesday",2060
2,"Tuesday",2450
2,"Tuesday",3088
2,"Tuesday",2093
2,"Tuesday",2784
2,"Tuesday",2223
2,"Tuesday",2291
2,"Tuesday",2929
2,"Tuesday",2236
2,"Tuesday",1980
2,"Tuesday",1551
2,"Tuesday",2057
2,"Tuesday",1882
2,"Tuesday",1861
2,"Tuesday",1632
2,"Tuesday",2638
2,"Tuesday",1347
2,"Tuesday",3123
2,"Tuesday",1402
2,"Tuesday",3290
2,"Tuesday",2421
2,"Tuesday",1953
2,"Tuesday",3145
2,"Tuesday",2116
2,"Tuesday",3795
2,"Tuesday",1496
2,"Tuesday",2671
2,"Tuesday",1843
2,"Tuesday",2072
2,"Tuesday",2976
2,"Tuesday",2754
2,"Tuesday",3023
2,"Tuesday",3784
2,"Tuesday",3212
2,"Tuesday",2297
2,"Tuesday",1970
2,"Tuesday",2817
2,"Tuesday",1985
2,"Tuesday",1859
2,"Tuesday",1393
2,"Tuesday",2799
2,"Tuesday",1347
2,"Tuesday",2063
2,"Tuesday",2797
2,"Tuesday",1141
2,"Tuesday",1899
2,"Tuesday",1962
2,"Tuesday",1630
2,"Tuesday",2926
2,"Tuesday",2260
2,"Tuesday",3061
2,"Tuesday",2181
2,"Tuesday",1889
2,"Tuesday",3172
2,"Tuesday",2335
2,"Tuesday",3841
2,"Tuesday",0
2,"Tuesday",2361
2,"Tuesday",2800
2,"Tuesday",2926
2,"Tuesday",3586
2,"Tuesday",2846
2,"Tuesday",57
2,"Tuesday",2832
2,"Tuesday",1595
2,"Tuesday",2793
2,"Tuesday",2860
2,"Tuesday",2035
2,"Tuesday",1435
2,"Tuesday",3300
2,"Tuesday",1366
2,"Tuesday",2063
2,"Tuesday",2489
2,"Tuesday",1356
2,"Tuesday",1811
2,"Tuesday",2346
2,"Tuesday",1956
2,"Tuesday",1985
2,"Tuesday",1638
2,"Tuesday",1980
3,"Wednesday",1658
3,"Wednesday",1797
3,"Wednesday",1411
3,"Wednesday",2902
3,"Wednesday",1860
3,"Wednesday",2151
3,"Wednesday",2601
3,"Wednesday",1521
3,"Wednesday",2003
3,"Wednesday",2038
3,"Wednesday",2004
3,"Wednesday",2093
3,"Wednesday",1495
3,"Wednesday",1981
3,"Wednesday",2306
3,"Wednesday",2135
3,"Wednesday",3092
3,"Wednesday",2095
3,"Wednesday",1722
3,"Wednesday",2898
3,"Wednesday",1718
3,"Wednesday",2551
3,"Wednesday",1496
3,"Wednesday",2905
3,"Wednesday",2400
3,"Wednesday",1718
3,"Wednesday",2742
3,"Wednesday",2516
3,"Wednesday",3140
3,"Wednesday",1935
3,"Wednesday",4079
3,"Wednesday",2654
3,"Wednesday",1934
3,"Wednesday",3566
3,"Wednesday",1786
3,"Wednesday",1446
3,"Wednesday",2430
3,"Wednesday",1349
3,"Wednesday",2063
3,"Wednesday",2897
3,"Wednesday",1667
3,"Wednesday",1922
3,"Wednesday",2198
3,"Wednesday",2094
3,"Wednesday",1867
3,"Wednesday",1554
3,"Wednesday",1980
3,"Wednesday",2220
3,"Wednesday",3083
3,"Wednesday",1974
3,"Wednesday",1788
3,"Wednesday",3061
3,"Wednesday",1570
3,"Wednesday",3192
3,"Wednesday",2536
3,"Wednesday",2701
3,"Wednesday",3727
3,"Wednesday",2174
3,"Wednesday",3096
3,"Wednesday",2997
3,"Wednesday",3043
3,"Wednesday",1931
3,"Wednesday",3787
3,"Wednesday",2647
3,"Wednesday",2188
3,"Wednesday",3679
3,"Wednesday",2159
3,"Wednesday",1670
3,"Wednesday",2489
3,"Wednesday",1348
3,"Wednesday",2063
3,"Wednesday",2463
3,"Wednesday",1593
3,"Wednesday",1481
3,"Wednesday",2194
3,"Wednesday",1966
3,"Wednesday",2095
3,"Wednesday",1377
3,"Wednesday",1980
3,"Wednesday",2324
3,"Wednesday",3074
3,"Wednesday",2361
3,"Wednesday",2098
3,"Wednesday",2908
3,"Wednesday",1922
3,"Wednesday",3294
3,"Wednesday",2576
3,"Wednesday",2743
3,"Wednesday",1841
3,"Wednesday",2034
3,"Wednesday",2830
3,"Wednesday",2693
3,"Wednesday",2852
3,"Wednesday",2008
3,"Wednesday",3061
3,"Wednesday",3142
3,"Wednesday",2067
3,"Wednesday",3808
3,"Wednesday",1819
3,"Wednesday",1368
3,"Wednesday",2222
3,"Wednesday",1549
3,"Wednesday",2338
3,"Wednesday",2649
3,"Wednesday",1426
3,"Wednesday",2015
3,"Wednesday",1628
3,"Wednesday",3879
3,"Wednesday",2282
3,"Wednesday",3162
3,"Wednesday",2070
3,"Wednesday",1842
3,"Wednesday",3004
3,"Wednesday",1698
3,"Wednesday",2755
3,"Wednesday",1902
3,"Wednesday",2718
3,"Wednesday",1841
3,"Wednesday",2086
3,"Wednesday",1557
3,"Wednesday",2655
3,"Wednesday",2918
3,"Wednesday",3110
3,"Wednesday",2516
3,"Wednesday",2067
3,"Wednesday",3477
3,"Wednesday",1783
3,"Wednesday",1359
3,"Wednesday",1276
3,"Wednesday",1347
3,"Wednesday",2063
3,"Wednesday",2544
3,"Wednesday",1698
3,"Wednesday",1903
3,"Wednesday",1826
3,"Wednesday",52
3,"Wednesday",2645
3,"Wednesday",2232
3,"Wednesday",2954
3,"Wednesday",2499
3,"Wednesday",2131
3,"Wednesday",3069
3,"Wednesday",1693
3,"Wednesday",1665
3,"Wednesday",1855
3,"Wednesday",2735
3,"Wednesday",2809
3,"Wednesday",3788
3,"Wednesday",2804
3,"Wednesday",3832
4,"Thursday",2734
4,"Thursday",3411
4,"Thursday",1705
4,"Thursday",4163
4,"Thursday",2443
4,"Thursday",1963
4,"Thursday",3793
4,"Thursday",3052
4,"Thursday",1688
4,"Thursday",1431
4,"Thursday",2312
4,"Thursday",2383
4,"Thursday",2130
4,"Thursday",3226
4,"Thursday",1572
4,"Thursday",3266
4,"Thursday",1776
4,"Thursday",1976
4,"Thursday",0
4,"Thursday",1849
4,"Thursday",0
4,"Thursday",1002
4,"Thursday",665
4,"Thursday",1383
4,"Thursday",1853
4,"Thursday",1364
4,"Thursday",1125
4,"Thursday",1431
4,"Thursday",1120
4,"Thursday",257
4,"Thursday",1623
4,"Thursday",1212
4,"Thursday",1452
4,"Thursday",1240
4,"Thursday",741
4,"Thursday",928
4,"Thursday",1199
4,"Thursday",1505
4,"Thursday",1959
4,"Thursday",1370
4,"Thursday",2463
4,"Thursday",1589
4,"Thursday",2063
4,"Thursday",2609
4,"Thursday",1926
4,"Thursday",1780
4,"Thursday",1971
4,"Thursday",1618
4,"Thursday",3429
4,"Thursday",2530
4,"Thursday",2899
4,"Thursday",2120
4,"Thursday",2262
4,"Thursday",3006
4,"Thursday",2156
4,"Thursday",3004
4,"Thursday",2636
4,"Thursday",2682
4,"Thursday",1841
4,"Thursday",2066
4,"Thursday",2933
4,"Thursday",2386
4,"Thursday",2950
4,"Thursday",3783
4,"Thursday",1696
4,"Thursday",2010
4,"Thursday",1893
4,"Thursday",2065
4,"Thursday",1433
4,"Thursday",2011
4,"Thursday",1776
4,"Thursday",2302
4,"Thursday",2998
4,"Thursday",2194
4,"Thursday",1922
4,"Thursday",2884
4,"Thursday",2757
4,"Thursday",2780
4,"Thursday",3060
4,"Thursday",3062
4,"Thursday",2862
4,"Thursday",2836
4,"Thursday",2182
4,"Thursday",1993
4,"Thursday",2687
4,"Thursday",1879
4,"Thursday",3580
4,"Thursday",1999
4,"Thursday",3033
4,"Thursday",2185
4,"Thursday",2203
4,"Thursday",2969
4,"Thursday",2367
4,"Thursday",1980
4,"Thursday",1407
4,"Thursday",1972
4,"Thursday",1835
4,"Thursday",1854
4,"Thursday",1580
4,"Thursday",1473
4,"Thursday",1649
4,"Thursday",2296
4,"Thursday",2351
4,"Thursday",1992
4,"Thursday",3108
4,"Thursday",1401
4,"Thursday",1898
4,"Thursday",3659
4,"Thursday",1720
4,"Thursday",2883
4,"Thursday",4236
4,"Thursday",2218
4,"Thursday",3103
4,"Thursday",2463
4,"Thursday",2763
4,"Thursday",2179
4,"Thursday",1841
4,"Thursday",2060
4,"Thursday",4900
4,"Thursday",4018
4,"Thursday",2066
4,"Thursday",2729
4,"Thursday",2486
4,"Thursday",2150
4,"Thursday",3069
4,"Thursday",1792
4,"Thursday",1980
4,"Thursday",1397
4,"Thursday",2124
4,"Thursday",1970
4,"Thursday",2048
4,"Thursday",1610
4,"Thursday",1370
4,"Thursday",3158
4,"Thursday",2064
4,"Thursday",2062
4,"Thursday",2140
4,"Thursday",1467
4,"Thursday",1775
4,"Thursday",2984
4,"Thursday",2324
4,"Thursday",4022
4,"Thursday",1496
4,"Thursday",2952
4,"Thursday",2507
4,"Thursday",1466
4,"Thursday",2668
5,"Friday",1946
5,"Friday",1837
5,"Friday",1404
5,"Friday",2498
5,"Friday",1856
5,"Friday",2063
5,"Friday",2611
5,"Friday",1692
5,"Friday",1410
5,"Friday",403
5,"Friday",1780
5,"Friday",2044
5,"Friday",1545
5,"Friday",1980
5,"Friday",2175
5,"Friday",2979
5,"Friday",2196
5,"Friday",1918
5,"Friday",3165
5,"Friday",2169
5,"Friday",3544
5,"Friday",2560
5,"Friday",2060
5,"Friday",1841
5,"Friday",2254
5,"Friday",3180
5,"Friday",2616
5,"Friday",2794
5,"Friday",1854
5,"Friday",2982
5,"Friday",3513
5,"Friday",3101
5,"Friday",2698
5,"Friday",3427
5,"Friday",2419
5,"Friday",2944
5,"Friday",4044
5,"Friday",1651
5,"Friday",2655
5,"Friday",2846
5,"Friday",2889
5,"Friday",2086
5,"Friday",1922
5,"Friday",2796
5,"Friday",2409
5,"Friday",3329
5,"Friday",2105
5,"Friday",2241
5,"Friday",2094
5,"Friday",2432
5,"Friday",3544
5,"Friday",1886
5,"Friday",1980
5,"Friday",1481
5,"Friday",1669
5,"Friday",2241
5,"Friday",1851
5,"Friday",1399
5,"Friday",2638
5,"Friday",2093
5,"Friday",1827
5,"Friday",2344
5,"Friday",1470
5,"Friday",1827
5,"Friday",1896
5,"Friday",1341
5,"Friday",3328
5,"Friday",1351
5,"Friday",2383
5,"Friday",2498
5,"Friday",1736
5,"Friday",1742
5,"Friday",1910
5,"Friday",1590
5,"Friday",2704
5,"Friday",2266
5,"Friday",3425
5,"Friday",2211
5,"Friday",1722
5,"Friday",2859
5,"Friday",1916
5,"Friday",2643
5,"Friday",1838
5,"Friday",2806
5,"Friday",2496
5,"Friday",1850
5,"Friday",2553
5,"Friday",2924
5,"Friday",2859
5,"Friday",3644
5,"Friday",2683
5,"Friday",1688
5,"Friday",4015
5,"Friday",3934
5,"Friday",2009
5,"Friday",2505
5,"Friday",3666
5,"Friday",1632
5,"Friday",3410
5,"Friday",2395
5,"Friday",2098
5,"Friday",1756
5,"Friday",2127
5,"Friday",2896
5,"Friday",2865
5,"Friday",4005
5,"Friday",2254
5,"Friday",2896
5,"Friday",2121
5,"Friday",2496
5,"Friday",3066
5,"Friday",1985
5,"Friday",1527
5,"Friday",2951
5,"Friday",1468
5,"Friday",1908
5,"Friday",2063
5,"Friday",2133
5,"Friday",1801
5,"Friday",1444
5,"Friday",2525
5,"Friday",2221
5,"Friday",1725
5,"Friday",2750
5,"Friday",1344
5,"Friday",1745
6,"Saturday",3051
6,"Saturday",1625
6,"Saturday",1908
6,"Saturday",2148
6,"Saturday",2670
6,"Saturday",1724
6,"Saturday",1373
6,"Saturday",2177
6,"Saturday",2064
6,"Saturday",1657
6,"Saturday",3493
6,"Saturday",1463
6,"Saturday",1863
6,"Saturday",2069
6,"Saturday",1916
6,"Saturday",4398
6,"Saturday",2896
6,"Saturday",3164
6,"Saturday",2660
6,"Saturday",0
6,"Saturday",2408
6,"Saturday",2995
6,"Saturday",2051
6,"Saturday",2002
6,"Saturday",2280
6,"Saturday",2843
6,"Saturday",2275
6,"Saturday",4501
6,"Saturday",1463
6,"Saturday",3115
6,"Saturday",2105
6,"Saturday",2363
6,"Saturday",3283
6,"Saturday",2092
6,"Saturday",1980
6,"Saturday",1650
6,"Saturday",1946
6,"Saturday",1830
6,"Saturday",1779
6,"Saturday",1506
6,"Saturday",3891
6,"Saturday",2748
6,"Saturday",3012
6,"Saturday",2908
6,"Saturday",2132
6,"Saturday",3554
6,"Saturday",1965
6,"Saturday",2284
6,"Saturday",2571
6,"Saturday",1841
6,"Saturday",2664
6,"Saturday",2651
6,"Saturday",3152
6,"Saturday",1776
6,"Saturday",3691
6,"Saturday",2085
6,"Saturday",2149
6,"Saturday",3306
6,"Saturday",1945
6,"Saturday",1980
6,"Saturday",1638
6,"Saturday",1995
6,"Saturday",3073
6,"Saturday",2180
6,"Saturday",1997
6,"Saturday",2021
6,"Saturday",2629
6,"Saturday",1804
6,"Saturday",2732
6,"Saturday",2064
6,"Saturday",1763
6,"Saturday",3846
6,"Saturday",1655
6,"Saturday",1947
6,"Saturday",3328
6,"Saturday",1831
6,"Saturday",4274
6,"Saturday",2828
6,"Saturday",2783
6,"Saturday",2225
6,"Saturday",2173
6,"Saturday",2076
6,"Saturday",1635
6,"Saturday",2867
6,"Saturday",1880
6,"Saturday",3363
6,"Saturday",2693
6,"Saturday",1721
6,"Saturday",4547
6,"Saturday",1949
6,"Saturday",1562
6,"Saturday",2677
6,"Saturday",1645
6,"Saturday",2499
6,"Saturday",1821
6,"Saturday",1474
6,"Saturday",3404
6,"Saturday",1347
6,"Saturday",2229
6,"Saturday",1995
6,"Saturday",1491
6,"Saturday",1972
6,"Saturday",1897
6,"Saturday",1574
6,"Saturday",2975
6,"Saturday",2158
6,"Saturday",4022
6,"Saturday",2123
6,"Saturday",1973
6,"Saturday",3683
6,"Saturday",1494
6,"Saturday",1819
6,"Saturday",2469
6,"Saturday",2613
6,"Saturday",1032
6,"Saturday",1947
6,"Saturday",120
6,"Saturday",2739
6,"Saturday",3331
6,"Saturday",2799
6,"Saturday",2810
6,"Saturday",1688
6,"Saturday",4142
6,"Saturday",1884
